arousal,valence,happy-face,anger-face,sad-face,fear-face,surprise-face,disgust-face,control,fairness,self-relativity,other-relativity,expectedness,novelty
29365,19827.5,2779,26274,32837,32802,27912,23935,35216.5,26242,30531,33885.5,11959,15105
17967.5,29084.5,28422.5,14472,11232.5,29432.5,23447.5,23582,7543,13153,9229,22358.5,31690.5,31918.5
29284.5,14571.5,18596.5,30160,7363.5,5588.5,10292,23218,5977,17059,35831.5,28714,462,16694.5
13002.5,27624,20080.5,2876,6377,24071.5,18206,9513,9182.5,14316,10994.5,24823.5,22348.5,22343
18418,24294.5,5269,30464,35671,36282,15661,31118.5,35662.5,10650,17937,30595.5,20449.5,4040.5
26250,30328.5,18406,14321.5,35453.5,36429,8934.5,12580.5,35311,8297,10059.5,26881.5,29467.5,14073
30581.5,16345.5,3895,19940.5,36808,27195,5240.5,20257,36656.5,11711,16938,28968.5,27676,11941
34843,29488.5,5805.5,7874.5,30896,36722,23162.5,13160.5,33929,8287,14601,28339.5,32704,6833.5
26094.5,27406,25179,34027,30059.5,26451.5,6713,34547,14760.5,14782.5,10880.5,22640.5,21977.5,16345.5
31233,21971,21880.5,28955.5,21046,8125.5,25253.5,27549,9855.5,26426,30370,20888.5,622,8765.5
26742.5,6918,3706.5,14693.5,21860,25362,31447.5,11943,23860.5,1861,24009.5,20978,22081.5,10563
21956,20259.5,6705,16041,20769.5,33690.5,25404,23136,11348,24632,32904.5,34868,9862,18370
14954.5,30299.5,5579,29493,36476,36695,34531,27254,35902,36321,36077,31116,7446,29652.5
9377,24611.5,16649,23608.5,23927,36853,36507.5,27279,36492,24360.5,7793,26235.5,35570.5,33391.5
11231,521,584,13556,19684.5,12046,12638,21661,17164,667.5,31736,30151,30649.5,18164
17528,6949,24540,18158.5,955.5,440.5,31791.5,14132.5,2225.5,19449.5,27482,10697,6254,15546
11106.5,12489,3320,33199.5,27051.5,18001,23508.5,30008.5,22776.5,28930,36256.5,29179,18008.5,15813.5
30281.5,17100.5,13509,25948.5,35142.5,26882,13887.5,25492.5,35886.5,11589,4658,20915,34678,36812
34905.5,14414,3481,36293,25032,27409.5,6627.5,36335.5,23204.5,1931,34411,36337,26417.5,27270
17288.5,14759,7794,32254,8960.5,9311.5,31425,35527,12907.5,5925.5,36385.5,35196,19966.5,3054.5
75,16766,7084,33765,26150.5,32624,36157.5,34502,31529,22826,36409,18485.5,35099,11093
35734,16087.5,4096,14075,31653,17819.5,28714.5,10838.5,22596.5,29257.5,31718.5,27134.5,14966,28249.5
17744.5,11484,4471,31847.5,31504,28346,30995.5,28727,28828.5,28468.5,36285.5,25306,9336.5,23398.5
23474,3843,3470,15959.5,12105.5,6806,19048,12458,12450,1968.5,32993,14990,9777,34575
9120,7057.5,10107,24104,12378.5,6636.5,3771,26985,2500.5,6662,19004.5,18613,3374.5,6506.5
36133,34942.5,35164.5,20196,3604.5,3895.5,20796.5,21358,8873.5,22176,36120,36811,769.5,24443
12800.5,1747,2070,27907.5,21780,28605,25083.5,27712.5,31832,1564.5,33007.5,29688,36211.5,26911.5
24544.5,13177.5,28575,23647.5,1076.5,647,23309,21686.5,677.5,14488,24713.5,21695.5,3385,3063
22296.5,18852,4232,30033,32742.5,23366,35502,31495,36193.5,23936.5,30816,35841,30264.5,14753
18180.5,3543.5,1519,33906,34320,27070,10886,31987.5,36042.5,6930,35540,36151,26988,8688
18524.5,12705,4669.5,23070.5,23144.5,34621.5,19088,27195,28869.5,4934.5,24572,33700,14409,11652.5
19941,36860,31960.5,30235.5,21257,27882.5,35196.5,30590,2076,34502.5,35687,31388,17216.5,10991.5
13222,33437.5,19756.5,32614,20536.5,31937.5,35970,29668.5,2771.5,17076.5,36863,32158,3400.5,4760
31509.5,2773,5127,143,5610,10311.5,19560,387,6675,1448.5,251,11482,25880.5,10549.5
10131.5,27514,12804.5,13692.5,33803,32764,16373.5,12757,25945.5,33995.5,22900.5,4441.5,22841,34627.5
31990,34151,31412,23630.5,24740.5,31421,26399.5,22736.5,25642,32619,34313,21936.5,13953.5,20761.5
10024,3983.5,2229.5,29045,27605.5,34499,36570.5,31789.5,35106,5173,10165,34621,36648.5,24312
17434,23501,21432.5,35061,9885,17901,25245,32875,600,11695.5,34684,26573,8193.5,7326
13606,4284,3827.5,18608,15928.5,25704,30146.5,17892.5,26712.5,2435.5,5118.5,27134.5,26911.5,22646.5
27825,34151,9328,33619,28272,36402,17213,33050.5,7128,12752.5,17458,35219,21568.5,20715
11615,13413,16961.5,27731,3743.5,2494.5,19038,30694,2578,24465.5,30761.5,23143,4222.5,17596.5
19042.5,4521.5,2511,26210.5,17773,21211.5,24520.5,26364.5,32523,3255,3373.5,27592.5,17018,32708
24367,7350.5,12358,13273.5,395,3604.5,15298.5,16966,11,4913.5,22743.5,27693,18869,5944
6937,27526,9299.5,29346.5,22981.5,30183.5,22194.5,31147.5,19082,10401.5,36646,33639,5182.5,27813.5
28833,36544.5,14256,34402.5,24691,35449.5,19159,34135.5,17392,30748.5,30552,36838,7482.5,101
2910,19231,8154.5,23443,26077,31467,6214.5,23808,20624.5,1822,34169.5,21648,29256,4778
24410.5,34885,19430,4883,14406,36757,15734,9480.5,29654,31156,15243.5,30455.5,30380,33009
11351,6313,4034.5,22537,13409,9973.5,5980.5,21700.5,12201,1807.5,35533.5,32815.5,1408.5,14734.5
16927.5,33358,12552,9987.5,28439,31776,4231.5,14353.5,22981.5,16376.5,25362,24339,29712,15032
26755.5,23868,7191.5,27173.5,34594,20674,18214,27490.5,17171.5,11831.5,13729,19531,19630,26717
14141.5,28145.5,11892.5,32779,21845,11883,29320,28799.5,10251.5,27054.5,34624,24104,1582.5,25548
29894.5,501,499,2503.5,1692,233,22468,2738.5,27656,392.5,30029,28008,12514.5,32840.5
209,30055,28276.5,17940.5,30755.5,28841,10168,20954,35774,19277.5,2011.5,11287,35708,15633.5
4325,3430.5,2303,29720,22856,18789.5,35900.5,28939,31771.5,3917.5,10145,19314.5,18288,16079.5
20268,30519,8419.5,10583,34554,21631,29803,10998.5,25037.5,30102.5,26164.5,12560,22830,35310
29165.5,2823.5,1028,20422,30707.5,10101.5,21213.5,16133,20597.5,2905,36328,31835,25916,21158.5
2460,18978,13812,35353,35902,20717.5,23429,35771.5,32198,10566,24740.5,27122,15232.5,8741.5
